1,216388.24949698185
11,2.3802707444668007e6
21,4.544153239436619e6
31,6.708035734406438e6
41,8.871918229376256e6
51,1.1035800724346075e7
61,1.3199683219315894e7
71,1.5363565714285713e7
81,1.752744820925553e7
91,1.969133070422535e7
101,2.185521319919517e7
111,2.401909569416499e7
121,2.6182978189134806e7
131,2.8346860684104625e7
141,3.051074317907444e7
151,3.2674625674044266e7
161,3.483850816901408e7
171,3.70023906639839e7
181,3.916627315895372e7
191,4.1330155653923534e7
201,4.349403814889336e7
211,4.565792064386317e7
221,4.7821803138832994e7
231,4.998568563380281e7
241,5.214956812877263e7
251,5.4313450623742454e7
261,5.647733311871226e7
271,5.864121561368209e7
281,6.080509810865191e7
291,6.296898060362172e7
301,6.5132863098591544e7
311,6.729674559356135e7
321,6.946062808853118e7
331,7.162451058350101e7
341,7.378839307847081e7
351,7.595227557344064e7
361,7.811615806841046e7
371,8.028004056338027e7
381,8.19795230583501e7
391,8.259540555331993e7
401,8.321128804828972e7
411,8.382717054325955e7
421,8.44430530382294e7
431,8.505893553319919e7
441,8.567481802816904e7
451,8.629070052313884e7
461,8.690658301810865e7
471,8.752246551307848e7
481,8.813834800804827e7
491,8.875423050301811e7
501,8.937011299798793e7
511,8.998599549295774e7
521,9.001191549295774e7
531,8.993738028169015e7
541,8.986284507042253e7
551,8.978830985915494e7
561,8.971377464788733e7
571,8.963923943661971e7
581,8.956470422535212e7
591,8.94901690140845e7
