1,371597.0164499788
11,4.087567180949766e6
21,7.803537345449554e6
31,1.1519507509949343e7
41,1.523547767444913e7
51,1.8951447838948917e7
61,2.2667418003448702e7
71,2.6383388167948496e7
81,3.009935833244828e7
91,3.381532849694806e7
101,3.753129866144786e7
111,4.124726882594764e7
121,4.496323899044743e7
131,4.867920915494722e7
141,5.239517931944701e7
151,5.611114948394679e7
161,5.9827119648446575e7
171,6.354308981294638e7
181,6.725905997744617e7
191,7.097503014194596e7
201,7.469100030644573e7
211,7.840697047094552e7
221,8.21229406354453e7
231,8.583891079994512e7
241,8.955488096444489e7
251,9.327085112894467e7
261,9.698682129344445e7
271,1.0070279145794426e8
281,1.0441876162244403e8
291,1.0813473178694382e8
301,1.1185070195144361e8
311,1.155666721159434e8
321,1.192826422804432e8
331,1.20573499595781e8
341,1.2153365970441481e8
351,1.2249381981304869e8
361,1.2345397992168258e8
371,1.2441414003031641e8
381,1.253743001389503e8
391,1.2633446024758416e8
401,1.2729462035621803e8
411,1.2825478046485189e8
421,1.2921494057348576e8
431,1.3017510068211964e8
441,1.3113526079075348e8
451,1.3209542089938736e8
461,1.3305558100802122e8
471,1.3401574111665508e8
481,1.3497590122528893e8
491,1.3593606133392283e8
501,1.368962214425567e8
511,1.3785638155119053e8
521,1.3881654165982446e8
531,1.3977670176845828e8
541,1.407368618770922e8
551,1.41697021985726e8
561,1.4265718209435987e8
571,1.4361734220299375e8
581,1.4365650422535214e8
591,1.435819690140845e8
